                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.75244,                 0.7458,                 1.2287,                0.90349,                0.67818,                0.85784,                0.68675,                0.74819,                0.77157,                 1.3088,               0.003664,               0.003664,               0.003664
                     66,                 1.0068,                 1.1007,                 1.4287,                 0.9307,                0.76015,                0.88652,                0.68801,                0.72889,                0.73422,                 1.2886,               0.003565,               0.003565,               0.003565
                     67,                0.81241,                0.81806,                 1.2389,                0.80892,                0.87345,                0.90481,                  0.711,                0.71238,                 0.6894,                 1.2708,               0.003466,               0.003466,               0.003466
                     68,                0.72321,                0.73246,                 1.2169,                0.88434,                0.76028,                0.89013,                0.70395,                 0.7028,                0.73284,                  1.254,               0.003367,               0.003367,               0.003367
                     69,                0.84246,                0.88282,                 1.2467,                0.93504,                0.87376,                  0.949,                0.73152,                0.77041,                 0.6703,                 1.3197,               0.003268,               0.003268,               0.003268
                     70,                0.76945,                0.80976,                 1.2422,                0.92421,                0.89766,                0.94577,                0.74784,                0.77116,                0.64319,                  1.333,               0.003169,               0.003169,               0.003169
                     71,                0.72471,                0.93031,                 1.0994,                0.87398,                0.92991,                0.95046,                0.75528,                0.74912,                0.61884,                 1.3088,                0.00307,                0.00307,                0.00307
                     72,                 0.8522,                0.87292,                 1.2655,                0.89144,                0.90731,                0.94801,                0.77279,                0.72326,                0.59752,                 1.2741,               0.002971,               0.002971,               0.002971
                     73,                0.79576,                0.88865,                  1.285,                0.94554,                0.86053,                0.93611,                 0.7449,                0.62802,                0.58978,                 1.1755,               0.002872,               0.002872,               0.002872
                     74,                0.79359,                0.89978,                 1.2231,                0.96826,                0.82418,                0.93466,                0.76409,                0.59338,                0.60086,                 1.1444,               0.002773,               0.002773,               0.002773
                     75,                0.76742,                0.69497,                 1.1962,                0.77883,                0.91667,                0.93726,                0.76227,                0.62584,                 0.6653,                 1.1623,               0.002674,               0.002674,               0.002674
                     76,                0.70292,                0.63536,                 1.1182,                0.79366,                0.95833,                0.94833,                 0.7354,                0.67865,                0.70249,                 1.2295,               0.002575,               0.002575,               0.002575
                     77,                0.82687,                0.97324,                 1.2587,                0.92658,                 0.8573,                0.94306,                0.73846,                0.69824,                0.69104,                 1.2704,               0.002476,               0.002476,               0.002476
                     78,                0.74095,                0.89254,                 1.2552,                0.86466,                0.91667,                0.95295,                0.76843,                0.67285,                0.72949,                 1.2511,               0.002377,               0.002377,               0.002377
                     79,                0.91805,                0.76453,                 1.4025,                0.98395,                 0.8953,                0.97244,                0.79213,                 0.6849,                0.67592,                 1.2736,               0.002278,               0.002278,               0.002278
                     80,                0.77399,                0.82736,                 1.2471,                0.95125,                0.91667,                0.96975,                0.78743,                0.69564,                 0.7286,                 1.2881,               0.002179,               0.002179,               0.002179
